Review,Review_rating,,
"One of the best of 2019 car. I really love it and the interior is really awesome. The design of the car is really futuristic and gives an overall cool look.
",5,,
"It's a very nice car. I purchased the last two month ago. I got a very good comfortable riding and I am happy with this car.
",5,,
"Good car but it doesn't have much pickup but this car has best in class features so not bad.
",5,,
"I found this car amazing in its segment having an amazing interior, eye-catching color, smooth steering, and good boot space.

 

 
",5,,
"Kia Seltos is the best car with the best price, best in looks the price perfect matches with the product.
",5,,
Worth Buying it. Value for money. Fully loaded with next-level features (in comparison to prevailing features in the market). Great mileage is there so you can take it to a longer distance and do good off-roading. Available in exciting colors. After-sales service is also good. If you people are looking for compact SUV that it will be one of the bes...Read More,5,,
"Best car, stylish, futuristic and fantastic car. I like this car very much. It has good mileage and also has a great engine. It's tiger-nose grill is so good. It gives a bold look to the car. It's bose infotainment system is very very good. The response of the touch screen is so fast. In Seltos, Kia gives a lot of features at a very good price.
Read More",5,,
"The very impressive driving experience such a cool SUV at a very affordable rate. The off-road drive experience is also much better. Finally a super feature car in the Indian market.
Read More",5,,
"It has a premium interior. Its exterior is muscular and looks more than a compact SUV. It's loaded with features and the car is a value for money.
",5,,
Kia Seltos is a great car. Having fully loaded features of next-generation and the best thing about it is the looks those DRLs which glow all the way from left to right. Even the engine power is best in class. Which could be easily seen on the roads nowadays and on their booking lists. The Kia motors gave a tough competition. It shook the whole mar...Read More,5,,
"The front end of the Seltos is particularly impressive. The huge Tiger Nose grille is Kia's design trademark, has a knurled aluminium finish, with a contrasting black plastic grille. Pair this with large sweeping headlights and turn indicators, along with vertically placed fog lamps, and the Seltos cuts a fine figure, with imposing road presence.
Read More",5,,
"Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, NVH levels are superb, ride quality is superb and diesel manual mileage is excellent, seat comfort is superb. The back seat of this vehicle occupies 3 people comfortably.
Read More",5,,
"I had driven my Seltos of around 10000 km and still, it is very smooth and fun to drive I am very happy with my decision.
",5,,
"Very feature loaded vehicle that blows your mind and very useful in day to day life. Comfort level is also great at this price point.
",5,,
"The engine is smooth, strong and very likable. Also, the 7-speed dual-clutch auto that is responsive and quick to shift. overall value for money.
",5,,
"The interior is excellent with cam, seating, and advanced technology. The Kia Seltos also comes with ventilated seats, 2-step reclining rear seats, electric sunroof, push-button start, electrically adjustable driver's seat, auto climate control, keyless entry, and a 360-degree camera. The safety tech adds six airbags, ABS with EBD, front and rear p...Read More",5,,
"I tried to ignore writing a review of the car. But the quality, performance and overall comfort of the car forced me to do so. I am here writing about Kia Seltos. Using this car for a bit now with decent 10000km on record. The car will not at all disappoint you in terms of pickup and driving comfort. The seats hold you so well and on top of it the ...Read More",5,,
"The best you can have out of mid-class SUV, the interior is just ravishing like exterior and compliment each other, boss music system is par excellence. My favourite colour is white with black out roof and GT line has its own charm with HUD(heads up display). Only holding back is that it's available in petrol, I hope soon diesel version would be he...Read More",5,,
"The best car of 2019 hands down. The features and the price is beyond the world, love everything about it. Especially the heads-up display and the sunroof. All the variants are BS6 compliant and all of the variants of the car are nicely put up and all of them are feature-loaded too. The lights on the cars look like something else completely and it'...Read More",5,,
"Excellent car for India. Whomsoever wants to buy a car, please go for this car definitely you will enjoy and also the best price with a luxury experience.
",5,,
"It is a very well built car with value for money proposition. It also comes loaded with best in class features, some of which are first in its segment and most importantly it is the safest car available in its segment. It is also the most attractive and stylish car with a lot of youth appeal and is bound to turn a lot of eyeballs on the road.
Read More",5,,
"Nice car, comfortable to drive at this price range and with such a big display loves the features.
",5,,
"Nice car with power delivery. Nice Led tail lamps. It gives you pleasure while driving. You can blindly opt for this car. 
",5,,
"Excellent car in the market. Has shaken the automobile market by its features and performance. The biggest competitor in the field of automobiles.
",5,,
"Runs smoothly and has great looks.
",5,,
"I am proud of the owner of the Kia Seltos HTK+ petrol variant, it is the most comfortable car in its segment as well as has great driving and handling characteristics. Kia has provided all the necessary features at a competitive price but I feel that it should have provided some features like armrest and charging port for rear passengers too in thi...Read More",5,,
"This is the most beautiful car, The design of the Kia Seltos is much richer and newer than other SUV vehicles in India, as well as being sporty. Very good quality has been used in this. Its front is a quite bold while from the side and back it looks quite premium.
Read More",5,,
